10
  1.99e+30 -6.781e+09  3.283e+09     -1.017      9.938
 3.594e+23 -3.116e+10 -2.643e+11  2.351e+04      -4298
 4.912e+24 -3.275e+11  3.476e+10     -890.1 -2.001e+04
  5.99e+24  2.234e+11  2.136e+11 -1.424e+04  1.536e+04
 6.589e+23 -3.368e+11 -9.667e+10       5389 -1.871e+04
   1.9e+27 -4.463e+11  7.069e+11  -1.07e+04      -6708
  5.68e+26  8.665e+10 -1.356e+12       9824      666.7
  8.68e+25  2.971e+12   2.57e+11       -594       6652
  1.02e+26 -3.553e+12  2.731e+12      -3289      -4337
 1.018e+22  4.618e+12  4.076e+10      -68.4       5356
